,Index,Mean,Stddev
0,1.0,-8.164704245030062,1.7201818717699133
1,2.0,-8.500888652707141,1.59021812572294
2,3.0,-8.896467685890276,1.613668309510783
3,4.0,-9.242986478794098,1.6802927825006664
4,5.0,-9.62116661062146,1.7626382034168695
5,6.0,-9.972790266535437,1.7350679582076505
6,7.0,-10.358134352556942,1.8293014705103057
7,8.0,-10.674930051481674,1.8837829645455788
8,9.0,-10.751026825675222,1.9560241724101326
9,10.0,-10.672231126750491,1.959678709689182
10,11.0,-9.934865535352642,1.9055100061509305
11,12.0,-8.567370911696727,1.9718007917072042
12,13.0,-5.202392417073071,2.2966399468669794
13,14.0,-2.2358655353526418,2.7853721921681402
14,15.0,0.6186720990559608,3.35027209981289
15,16.0,2.3495323141097244,3.495002910346127
16,17.0,3.9094355399161747,3.3153198327775737
17,18.0,4.46751080873338,3.128321057602778
18,19.0,5.093123711959186,2.737020138012526
19,20.0,5.561629088303272,2.6097767249264248
20,21.0,5.5667366151849915,2.2479129506073874
21,22.0,5.705414034539832,2.2503377684876114
22,23.0,5.995360271098971,2.1252201471060683
23,24.0,6.104435539916176,2.097962007954733
24,25.0,6.2939409162602615,2.05744204585603
25,26.0,6.108661346367788,2.011140927100729
26,27.0,5.7964355399161755,2.1040388884958214
27,28.0,5.441069948518327,2.1433013784006745
28,29.0,5.249796129901555,2.173728171923295
29,30.0,4.942005432389294,2.1331491655972212
30,31.0,4.7367903786258525,2.0952817792362795
31,32.0,5.1133280130344545,2.1947864268717385
32,33.0,6.193575324862412,2.3006203428514045
33,34.0,6.947973174324777,2.4034387279504106
34,35.0,7.7554140345398315,2.562254209528976
35,36.0,7.792317260346284,2.6186374939898633
36,37.0,7.72977962593768,2.6639766320002893
37,38.0,7.492177475400047,2.732675413384675
38,39.0,7.0326720990559615,2.6570914538931736
39,40.0,6.2970054323892946,2.4986537230565204
40,41.0,5.317328013034454,2.206650972872209
41,42.0,4.160188228088219,1.945542660078786
42,43.0,2.8091559700237023,1.7540343327128574
43,44.0,1.2057366151849929,1.7861977294835059
44,45.0,-0.7791235998687707,2.0729557152366427
45,46.0,-2.612693492341889,2.0524918724650854
46,47.0,-4.367801019223609,2.009685435348129
47,48.0,-5.838456933202103,2.007230366411603
48,49.0,-6.843263384815009,1.7485767191339954
49,50.0,-7.158553707395653,1.725622509969366
50,51.0,-7.541188115997803,1.8233470975876964
51,52.0,-7.880779513847265,1.9621280914649417
52,53.0,-8.35380101922361,2.092635975540989
53,54.0,-8.662940804169844,2.1715214949782253
