Time,Settlement Period,Day of Week,Predicted_load
2016-01-03 03:00:00,7.0,6,34938.2552830043
2016-01-03 03:30:00,8.0,6,34938.2552830043
2016-01-03 04:00:00,9.0,6,34938.2552830043
2016-01-03 04:30:00,10.0,6,34938.2552830043
2016-01-03 05:00:00,11.0,6,34938.2552830043
2016-01-03 05:30:00,12.0,6,34938.2552830043
2016-01-03 06:00:00,13.0,6,34938.2552830043
2016-01-03 06:30:00,14.0,6,34938.2552830043
2016-01-03 07:00:00,15.0,6,34938.2552830043
2016-01-03 07:30:00,16.0,6,34938.2552830043
2016-01-03 08:00:00,17.0,6,34938.2552830043
2016-01-03 08:30:00,18.0,6,34938.2552830043
2016-01-03 09:00:00,19.0,6,34938.2552830043
2016-01-03 09:30:00,20.0,6,34938.2552830043
2016-01-03 10:00:00,21.0,6,34938.2552830043
2016-01-03 10:30:00,22.0,6,34938.2552830043
2016-01-03 11:00:00,23.0,6,34938.2552830043
2016-01-03 11:30:00,24.0,6,34938.2552830043
2016-01-03 12:00:00,25.0,6,34938.2552830043
2016-01-03 12:30:00,26.0,6,34938.2552830043
2016-01-03 13:00:00,27.0,6,34938.2552830043
2016-01-03 13:30:00,28.0,6,34938.2552830043
2016-01-03 14:00:00,29.0,6,34938.2552830043
2016-01-03 14:30:00,30.0,6,34938.2552830043
2016-01-03 15:00:00,31.0,6,34938.2552830043
2016-01-03 15:30:00,32.0,6,34938.2552830043
2016-01-03 16:00:00,33.0,6,34938.2552830043
2016-01-03 16:30:00,34.0,6,34938.2552830043
2016-01-03 17:00:00,35.0,6,34938.2552830043
2016-01-03 17:30:00,36.0,6,34938.2552830043
2016-01-03 18:00:00,37.0,6,34938.2552830043
2016-01-03 18:30:00,38.0,6,34938.2552830043
2016-01-03 19:00:00,39.0,6,34938.2552830043
2016-01-03 19:30:00,40.0,6,34938.2552830043
2016-01-03 20:00:00,41.0,6,34938.2552830043
2016-01-03 20:30:00,42.0,6,34938.2552830043
2016-01-03 21:00:00,43.0,6,34938.2552830043
2016-01-03 21:30:00,44.0,6,34938.2552830043
2016-01-03 22:00:00,45.0,6,34938.2552830043
2016-01-03 22:30:00,46.0,6,34938.2552830043
2016-01-03 23:00:00,47.0,6,34938.2552830043
2016-01-03 23:30:00,48.0,6,34938.2552830043
2016-01-04 00:00:00,1.0,0,34938.2552830043
2016-01-04 00:30:00,2.0,0,34938.2552830043
2016-01-04 01:00:00,3.0,0,34938.2552830043
2016-01-04 01:30:00,4.0,0,34938.2552830043
2016-01-04 02:00:00,5.0,0,34938.2552830043
2016-01-04 02:30:00,6.0,0,34938.2552830043
2016-01-04 03:00:00,7.0,0,34938.2552830043
2016-01-04 03:30:00,8.0,0,34938.2552830043
2016-01-04 04:00:00,9.0,0,34938.2552830043
2016-01-04 04:30:00,10.0,0,34938.2552830043
2016-01-04 05:00:00,11.0,0,34938.2552830043
2016-01-04 05:30:00,12.0,0,34938.2552830043
2016-01-04 06:00:00,13.0,0,34938.2552830043
2016-01-04 06:30:00,14.0,0,34938.2552830043
2016-01-04 07:00:00,15.0,0,34938.2552830043
2016-01-04 07:30:00,16.0,0,34938.2552830043
2016-01-04 08:00:00,17.0,0,34938.2552830043
2016-01-04 08:30:00,18.0,0,34938.2552830043
2016-01-04 09:00:00,19.0,0,34938.2552830043
2016-01-04 09:30:00,20.0,0,34938.2552830043
2016-01-04 10:00:00,21.0,0,34938.2552830043
2016-01-04 10:30:00,22.0,0,34938.2552830043
2016-01-04 11:00:00,23.0,0,34938.2552830043
2016-01-04 11:30:00,24.0,0,34938.2552830043
2016-01-04 12:00:00,25.0,0,34938.2552830043
2016-01-04 12:30:00,26.0,0,34938.2552830043
2016-01-04 13:00:00,27.0,0,34938.2552830043
2016-01-04 13:30:00,28.0,0,34938.2552830043
2016-01-04 14:00:00,29.0,0,34938.2552830043
2016-01-04 14:30:00,30.0,0,34938.2552830043
2016-01-04 15:00:00,31.0,0,34938.2552830043
2016-01-04 15:30:00,32.0,0,34938.2552830043
2016-01-04 16:00:00,33.0,0,34938.2552830043
